age,3,10,25,50,75,90,97
0 month,31.0,32.0,32.8,34.0,35.2,36.0,37.0
1 month,33.0,34.0,34.9,35.9,37.1,38.1,39.0
2 month,34.6,35.6,36.6,37.7,38.8,39.9,40.9
3 month,36.3,37.3,38.3,39.4,40.5,41.4,42.8
4 month,38.0,38.9,39.8,40.9,42.1,43.0,44.3
5 month,39.5,40.3,41.2,42.3,43.5,44.5,45.7
6 month,40.7,41.6,42.4,43.5,44.7,45.8,47.1
7 month,41.8,42.7,43.6,44.6,45.8,47.2,48.5
8 month,42.8,43.7,44.6,45.7,46.9,48.3,49.8
9 month,43.6,44.5,45.5,46.6,47.8,49.3,50.9
10 month,44.3,45.2,46.2,47.2,48.6,50.1,51.7
11 month,45.0,45.8,46.8,47.8,49.3,50.8,52.3
1 year,45.5,46.3,47.2,48.3,49.9,51.4,52.8
15 month,46.4,47.3,48.0,49.3,50.8,52.3,53.9
18 month,47.1,47.8,48.7,49.9,51.3,52.9,54.5
21 month,47.5,48.2,49.1,50.4,51.9,53.5,55.0
2 year,47.8,48.5,49.5,50.2,52.5,54.0,55.6
27 month,47.9,48.8,49.8,51.3,53.0,54.5,56.2
30 month,48.0,49.0,50.0,51.5,53.3,54.9,56.8
33 month,48.1,49.0,50.0,51.8,53.6,55.5,57.2
3 year,48.2,49.1,50.3,51.8,53.9,56.0,57.6
3.5 year,48.6,49.7,50.9,52.5,54.3,56.2,57.8
4 year,49.0,49.6,51.3,53.0,55.0,56.0,59.0
4.5 year,49.6,51.0,52.3,54.0,55.8,57.8,59.7
5 year,50.4,51.0,53.0,54.5,57.0,59.0,61.3
5.5 year,50.8,52.4,53.8,55.7,57.8,60.0,62.2
6 year,51.0,52.6,54.0,56.0,58.0,59.1,63.1
6.5 year,52.3,53.8,55.5,57.5,59.8,62.4,64.7
7 year,52.0,53.1,55.0,57.5,60.0,61.0,64.0
8 year,52.0,55.9,57.0,58.0,59.3,62.1,65.0
9 year,56.0,57.0,58.5,61.0,63.0,66.8,68.4
10 year,57.5,59.0,61.0,63.0,65.0,69.0,70.3
11 year,60.5,61.5,63.0,64.5,69.0,76.8,79.5
12 year,58.7,61.5,64.0,66.9,68.4,71.6,75.8
13 year,61.8,63.0,65.0,68.0,73.0,77.0,80.5
14 year,67.7,69.7,73.0,76.0,80.0,84.3,87.6
15 year,63.0,68.0,71.0,74.0,77.0,82.4,86.0
16 year,73.0,75.8,78.8,82.6,87.1,90.6,93.9
17 year,75.4,78.0,80.6,83.8,88.0,91.0,94.5
