age,3,10,25,50,75,90,97
0 month,31.7,32.3,33.5,34.8,36.6,36.8,37.8
1 month,33.3,34.1,35.2,36.5,37.9,38.9,40.2
2 month,35.0,35.7,36.9,38.3,39.8,40.8,42.0
3 month,36.5,36.5,37.2,38.4,39.9,41.6,42.7
4 month,37.9,38.6,39.8,41.4,43.4,44.6,45.9
5 month,39.3,40.1,41.2,42.9,45.0,45.7,47.6
6 month,40.6,41.4,42.5,44.3,46.3,47.6,49.0
7 month,41.7,42.5,43.6,45.5,47.5,48.9,50.1
8 month,42.7,43.5,44.6,46.4,48.5,49.9,51.1
9 month,43.6,44.4,45.4,47.2,49.3,50.8,52.0
10 month,44.3,45.1,46.1,47.9,50.0,51.4,52.8
11 month,44.8,45.6,46.6,48.4,50.6,52.0,53.5
1 year,45.3,46.1,47.0,48.7,51.0,52.5,54.1
15 month,46.0,46.8,47.9,49.8,51.9,53.4,55.1
18 month,46.5,47.4,48.6,50.4,52.4,53.9,55.6
21 month,47.0,47.9,49.1,50.8,52.9,54.3,56.0
2 year,47.6,48.4,49.5,51.4,53.2,54.7,56.4
27 month,47.9,48.7,49.9,51.7,53.4,55.2,56.8
30 month,48.2,49.0,50.3,52.0,53.9,55.5,57.3
33 month,48.4,49.3,50.5,52.3,54.2,55.8,57.7
3 year,49.0,50.0,51.3,52.5,54.0,55.0,57.4
3.5 year,49.2,50.3,51.5,53.1,55.0,57.1,59.0
4 year,50.5,52.0,53.0,54.0,56.0,57.0,60.0
4.5 year,50.8,52.0,53.3,54.7,56.9,59.0,61.2
5 year,51.2,53.0,54.2,56.6,58.4,60.6,62.6
5.5 year,52.2,53.5,55.0,56.6,59.1,61.3,63.7
6 year,53.0,55.0,56.0,58.0,60.5,62.5,64.8
6.5 year,53.8,55.2,57.0,58.8,61.3,63.8,66.4
7 year,54.0,54.7,57.0,59.0,61.0,63.0,64.0
8 year,54.9,56.0,58.0,60.3,62.0,65.3,68.3
9 year,57.2,59.0,61.0,62.5,65.5,68.7,73.4
10 year,60.5,62.0,63.5,65.5,68.0,71.0,74.8
11 year,61.1,63.1,65.0,67.5,71.5,77.5,80.0
12 year,61.0,65.0,66.5,69.5,73.0,81.0,85.5
13 year,66.8,68.0,70.5,76.0,79.8,85.0,96.0
14 year,67.6,71.0,75.0,79.0,83.0,86.0,93.3
15 year,71.9,75.0,77.0,80.0,84.0,86.9,89.0
16 year,73.3,76.2,8Î.0,84.5,89.9,93.6,97.0
17 year,77.0,80.0,82.9,87.2,92.2,95.5,98.4
