age,3,10,25,50,75,90,97
0 month,31.7,32.5,—,34.1,—,35.5,36.3
1 month,34.2,35.0,35.8,36.6,37.4,38.1,39.0
2 month,35.7,36.7,37.4,38.2,39.0,39.8,40.7
3 month,37.1,38.0,38.7,39.5,40.4,41.2,42.0
4 month,38.3,39.1,39.9,40.7,41.4,42.2,43.0
5 month,39.5,40.3,41.0,41.7,42.5,43.2,44.0
6 month,40.6,41.5,42.0,43.0,43.4,44.2,45.0
9 month,42.3,42.9,43.5,44.6,45.6,46.4,46.8
1 year,43.5,44.2,44.9,45.7,46.5,47.3,48.0
15 month,44.2,45.2,45.9,46.7,47.5,48.3,49.0
18 month,45.0,45.8,46.5,47.3,48.2,49.0,49.8
21 month,45.5,46.1,46.9,47.8,48.7,49.5,50.4
2 year,45.8,46.6,47.4,48.2,49.2,50.0,50.8
3 year,47.0,47.6,48.5,49.6,50.2,51.1,51.8
4 year,	47.8,48.6,49.3,50.2,51.1,51.8,52.6
5 year,48.4,49.2,49.8,50.8,51.7,52.4,53.2
6 year,48.8,49.6,50.3,51.2,52.0,52.8,53.6
7 year,49.1,49.9,50.6,51.5,52.5,53.1,53.9
8 year,49.3,50.1,50.8,51.7,52.7,53.3,54.1
9 year,49.5,50.2,51.0,51.9,52.9,53.5,54.3
10 year,49.7,50.5,51.3,52.2,53.2,53.9,54.6
11 year,50.2,51.0,51.8,52.7,53.7,54.4,55.1
12 year,50.6,55.3,52.3,53.2,54.0,54.9,55.6
13 year,51.2,52.0,52.8,53.6,54.5,55.2,56.0
14 year,51.7,52.5,53.2,54.0,54.8,55.5,56.2
15 year,52.1,52.8,53.4,54.2,54.9,55.6,56.3
16 year,52.2,52.9,53.6,54.3,55.0,55.7,56.4
