age,3,10,25,50,75,90,97
0 month,32.8,33.7,—,35.2,—,36.7,37.6
1 month,34.6,35.5,36.3,37.1,38.0,39.1,40.3
2 month,36.5,37.4,38.2,39.0,40.0,41.0,42.0
3 month,38.2,39.0,39.7,40.6,41.5,42.5,43.3
4 month,39.5,40.2,40.9,41.8,42.8,43.6,44.4
5 month,40.5,41.2,41.9,42.7,43.8,44.6,45.4
6 month,41.5,42.0,42.8,43.9,44.8,45.5,46.3
9 month,43.4,44.0,44.8,45.8,46.7,47.4,48.0
1 year,44.6,45.3,46.2,47.1,48.0,48.6,49.3
15 month,45.4,46.1,46.9,47.9,48.9,49.5,50.1
18 month,46.0,46.6,47.5,48.5,49.7,50.2,50.8
21 month,46.5,47.2,48.0,49.1,50.1,50.6,51.1
2 year,47.0,47.6,48.4,49.5,50.5,50.9,51.5
3 year,48.1,48.7,49.5,50.5,51.6,52.3,53.0
4 year,48.6,49.4,50.2,51.1,52.0,52.9,53.7
5 year,49.1,49.9,50.7,51.6,52.5,53.3,54.1
6 year,49.4,50.2,51.0,51.9,52.8,53.6,54.4
7 year,49.6,50.4,51.2,52.1,53.0,53.8,54.6
8 year,49.8,50.6,51.4,52.3,53.2,54.0,54.8
9 year,50.0,50.8,51.6,52.5,53.4,54.2,55.0
10 year,50.2,51.0,51.8,52.7,53.7,54.5,55.3
11 year,50.4,51.3,52.1,53.1,54.1,54.9,55.7
12 year,50.8,51.7,52.5,53.6,54.6,55.4,56.4
13 year,51.2,52.2,53.1,54.1,55.1,56.1,57.0
14 year,51.7,52.6,53.6,54.6,55.6,56.6,57.5
15 year,52.0,52.9,53.8,54.9,55.8,56.8,57.6
16 year,52.2,53.1,54.0,55.0,56.0,56.9,57.7
