age,3,10,25,50,75,90,97
0 month,46.5,48.0,49.8,51.3,52.3,53.5,55.0
1 month,49.5,51.2,52.7,54.5,55.6,56.5,57.3
2 month,52.6,53.8,55.3,57.3,58.2,59.4,60.9
3 month,55.3,56.5,58.1,60.0,60.9,62.0,63.8
4 month,57.5,58.7,60.6,62.0,63.1,64.5,66.3
5 month,59.9,61.1,62.3,64.3,65.6,67.0,68.9
6 month,61.7,63.0,64.8,66.1,67.7,69.0,71.2
7 month,63.8,65.1,66.3,68.0,69.8,71.1,73.5
8 month,	65.5,66.8,68.1,70.0,71.3,73.1,75.3
10 month,68.8,69.1,71.2,73.0,75.1,76.9,78.8
11 month,70.1,71.3,72.6,74.3,76.2,78.0,80.3
1 year,71.2,72.3,74.0,75.5,77.3,79.7,81.7
15 month,74.8,75.9,77.1,79.0,81.0,83.0,85.3
18 month,76.9,78.4,79.8,81.7,83.9,85.9,89.4
21 month,79.3,80.8,82.3,84.3,86.5,88.3,91.2
2 year,82.0,83.5,85.0,86.0,90.1,93.0,98.5
27 month,84.6,85.6,88.5,90.0,92.0,94.9,98.8
30 month,85.0,87.0,91.0,92.5,95.0,97.1,100.2
33 month,88.5,90.0,92.0,95.0,97.0,98.5,104.0
3 year,90.0,91.0,94.1,97.5,99.4,102.0,104.4
3.5 year,93.6,95.0,97.6,100.0,103.0,106.0,108.0
4 year,95.2,98.9,101.0,104.0,106.6,109.0,110.8
4.5 year,100.5,103.5,105.5,108.0,111.0,113.0,116.0
5 year,104.0,105.0,108.0,111.5,114.5,118.0,119.7
5.5 year,107.2,109.6,113.0,116.0,119.0,122.0,123.8
6 year,108.5,110.9,114.0,118.0,120.5,123.1,126.8
6.5 year,113.0,115.0,118.5,121.0,124.1,129.2,130.5
7 year,115.0,117.0,121.1,125.5,128.0,131.2,134.0
8 year,114.7,122.0,124.3,127.0,129.0,133.0,136.0
9 year,125.0,126.4,128.5,132.0,135.5,139.6,144.8
10 year,132.3,135.0,138.0,142.0,145.8,148.5,151.8
11 year,133.1,136.1,139.5,144.5,148.5,151.5,154.9
12 year,140.5,144.0,147.8,152.0,156.8,161.5,162.5
13 year,146.0,148.0,155.5,158.5,165.5,169.5,171.0
14 year,155.8,160.2,164.0,168.0,173.0,176.4,182.0
15 year,152.2,160.1,166.0,171.8,177.0,181.8,188.0
16 year,158.8,163.2,166.8,173.3,177.8,182.0,186.3
17 year,162.8,166.6,171.6,177.3,181.6,186.0,188.5
