age,3,10,25,50,75,90,97
0 month,2.6,2.8,3.0,3.3,3.7,3.9,4.1
1 month,3.3,3.6,3.8,4.2,4.5,4.7,5.1
2 month,3.8,4.2,4.5,4.8,5.2,5.5,5.9
3 month,4.4,4.8,5.2,5.5,5.9,6.3,6.7
4 month,5.0,5.4,5.8,6.2,6.6,7.0,7.5
5 month,5.5,5.9,6.3,6.7,7.2,7.7,8.1
6 month,5.9,6.3,6.8,7.3,7.8,8.3,8.7
7 month,6.4,6.8,7.3,7.7,8.4,8.9,9.3
8 month,6.7,7.2,7.6,8.2,8.8,9.3,9.7
9 month,7.1,7.5,8.0,8.6,9.2,9.7,10.1
10 month,7.4,7.9,8.4,9.0,9.6,10.1,10.5
11 month,7.7,8.3,8.7,9.3,9.9,10.5,10.9
1 year,8.0,8.5,9.0,9.6	,10.2,10.8,11.3
15 month,8.6,9.2,9.7,10.8,10.9,11.5,12.1
18 month,9.2,9.8,10.3,10.8,11.5,12.2,12.8
21 month,9.7,10.3,10.6,11.5,12.2,12.8,13.4
2 year,10.0,10.8,11.8,12.6,13.4,14.0,15.2
27 month,10.4,11.2,12.1,12.8,13.7,14.5,15.5
30 month,10.9,11.7,12.4,13.2,14.4,15.5,17.1
33 month,11.0,11.9,13.0,13.8,14.8,15.9,17.6
3 year,12.0,12.5,13.2,14.3,15.5,17.0,18.5
3.5 year,12.2,13.0,14.0,15.2,16.5,17.6,19.7
4 year,13.0,13.9,14.8,16.0,17.6,19.2,20.0
4.5 year,14.2,15.0,15.8,17.8,19.1,21.6,24.6
5 year,14.3,15.5,17.2,19.0,20.2,21.9,25.3
5.5 year,14.8,16.1,17.8,19.5,21.1,23.2,25.9
6 year,15.0,17.0,18.8,19.7,21.4,24.0,26.7
6.5 year,17.6,18.5,19.4,21.0,22.9,24.2,27.6
7 year,18.8,20.7,22.9,25.0,27.0,29.0,30.0
8 year,19.4,19.9,21.5,24.3,26.0,28.1,32.7
9 year,19.0,20.3,22.5,24.0,26.0,28.9,33.8
10 year,20.0,25.0,27.3,29.8,32.0,35.1,40.7
11 year,25.0,26.7,29.0,32.0,37.0,44.2,51.0
12 year,26.1,29.8,32.8,38.5,42.5,47.0,53.4
13 year,31.8,34.5,40.8,45.0,51.3,54.0,66.0
14 year,39.0,41.4,44.6,47.2,54.8,60.0,66.3
15 year,40.0,43.6,46.8,50.0,56.0,61.4,65.5
16 year,45.2,48.4,51.8,56.5,61.3,67.6,75.6
17 year,46.2,49.2,52.9,57.3,61.9,68.0,76.0
