age,3,10,25,50,75,90,97
0 month,2.7,2.9,3.1,3.4,3.7,3.9,4.2
1 month,3.3,3.6,4.0,4.3,4.7,5.1,5.4
2 month,3.9,4.2,4.6,5.1,5.6,6.0,6.4
3 month,4.5,4.9,5.3,5.8,6.4,7.0,7.3
4 month,5.1,5.5,6.0,6.5 ,7.2,7.6,8.1
5 month,5.6,6.1,6.5,7.1,7.8,8.3,8.8
6 month,6.1,6.6,7.1,7.6,8.4,9.0,9.4
7 month,6.6,7.1,7.6,8.2,8.9,9.5,9.9
8 month,7.1,7.5,8.0,8.6,9.4,10.0,10.5
9 month,7.5,7.9,8.4,9.1,9.8,10.5,11.0
10 month,7.9,8.3,8.8,9.5,10.3,10.9,11.4
11 month,8.2,8.6,9.1,9.8,10.6,11.2,11.8
1 year,8.5,8.9,9.4,10.0,10.9,11.6,12.1
15 month,9.2,9.6,10.1,10.8,11.7,12.4,13.0
18 month,9.7,10.2,10.7,11.5,12.4,13.0,13.7
21 month,10.2,10.6,11.2,12.0,12.9,13.6,14.3
2 year,10.5,11.0,11.5,12.0,14.0,14.5,16.9
27 month,11.2,11.5,12.0,13.0,14.5,16.0,17.1
30 month,11.3,12.0,12.9,13.8,15.0,16.3,17.4
33 month,11.4,12.7,13.4,14.0,15.6,16.5,17.9
3 year,12.0,13.0,13.6,14.9,15.7,17.4,19.7
3.5 year,13.0,14.0,14.7,15.7,16.9,18.5,19.9
4 year,13.2,14.3,15.0,16.5,18.0,19.6,20.7
4.5 year,14.0,14.8,16.5,17.6,19.0,20.1,22.2
5 year,15.2,16.0,17.5,18.8,20.5,22.1,24.9
5.5 year,15.6,16.8,18.5,20.0,22.0,24.0,25.9
6 year,16.2,17.5,18.6,21.0,22.4,24.3,27.1
6.5 year,17.7,19.6,20.4,22.3,25.4,26.7,31.3
7 year,19.6,20.9,22.0,24.3,26.5,28.2,32.0
8 year,18.9,21.1,22.6,25.1,27.9,33.0,36.1
9 year,21.0,22.0,23.0,26.0,28.0,32.0,37.8
10 year,24.0,25.0,27.5,29.5,34.3,38.5,39.8
11 year,26.7,29.0,30.0,33.8,40.0,45.9,52.6
12 year,30.9,33.2,35.4,41.0,44.2,52.0,61.3
13 year,36.8,38.0,39.5,44.0,50.3,56.0,70.0
14 year,40.6,43.0,46.0,53.0,57.0,64.4,76.0
15 year,42.0,47.0,50.0,55.0,61.0,64.9,69.0
16 year,44.0,48.3,54.0,61.0,69.6,76.5,84.7
17 year,49.3,54.6,59.8,66.3,74.0,80.1,87.8
